;longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity;people_per_household;rooms_per_person;beds_per_room
4825;-118,31;34,04;33;2691;726;2390;681;2,4048;208300;<1H OCEAN;3,509544787;1,125941423;0,269788183
1507;-122,05;37,93;5;4274;1153;1503;881;4,0473;266500;NEAR BAY;1,706015891;2,843646041;0,269770707
4804;-118,36;34,03;38;2365;638;2259;607;2,0879;120700;<1H OCEAN;3,721581549;1,046923417;0,269767442
10834;-117,92;33,67;14;6224;1679;3148;1589;4,2071;430900;<1H OCEAN;1,981120201;1,977128335;0,269762211
4438;-118,2;34,09;39;1594;430;1668;378;2,5343;138200;<1H OCEAN;4,412698413;0,955635492;0,269761606
5338;-118,46;34,04;31;2621;707;1632;673;3,287;348100;<1H OCEAN;2,424962853;1,606004902;0,269744372
11878;-117,37;33,98;43;2862;772;1878;675;2,1151;96700;INLAND;2,782222222;1,523961661;0,26974144
5056;-118,35;34,02;34;3978;1073;2725;1035;1,7622;167900;<1H OCEAN;2,632850242;1,459816514;0,269733534
4357;-118,36;34,09;38;2158;582;1061;577;2,9643;355300;<1H OCEAN;1,83882149;2,033930254;0,269694161
15734;-122,42;37,78;17;1257;339;1093;384;1,8438;72500;NEAR BAY;2,846354167;1,150045746;0,269689737
7345;-118,15;33,97;32;927;250;970;248;2,1591;181500;<1H OCEAN;3,911290323;0,955670103;0,269687163
3643;-118,46;34,22;35;2288;617;2222;566;2,6299;170700;<1H OCEAN;3,925795053;1,02970297;0,269667832
4778;-118,33;34,03;33;2314;624;1714;582;1,7377;183900;<1H OCEAN;2,945017182;1,350058343;0,269662921
11883;-117,36;33,98;46;1680;453;1570;435;2,0436;82300;INLAND;3,609195402;1,070063694;0,269642857
637;-122,16;37,72;10;2229;601;877;485;3,3431;137500;NEAR BAY;1,808247423;2,541619156;0,269627636
12120;-117,24;33,94;15;1569;423;1123;369;1,6111;113900;INLAND;3,043360434;1,39715049;0,26959847
14088;-117,11;32,76;21;2226;600;1085;533;2,2604;126300;NEAR OCEAN;2,03564728;2,051612903;0,269541779
9539;-120,73;37,38;37;653;176;827;176;1,9236;64400;INLAND;4,698863636;0,789600967;0,269525268
13388;-117,57;34,07;4;2152;580;1083;441;3,1458;118800;INLAND;2,455782313;1,987072946;0,269516729
5149;-118,27;33,97;34;1462;394;1310;351;1,1557;90100;<1H OCEAN;3,732193732;1,116030534;0,269493844
13090;-121,36;38,56;20;1232;332;667;288;1,8288;32500;INLAND;2,315972222;1,847076462;0,269480519
13316;-117,67;34,06;26;1592;429;1182;365;2,4583;110400;INLAND;3,238356164;1,346869712;0,269472362
16641;-120,65;35,29;29;1785;481;1344;472;1,4492;222900;NEAR OCEAN;2,847457627;1,328125;0,269467787
5183;-118,25;33,94;37;1002;270;1092;273;1,6333;94500;<1H OCEAN;4;0,917582418;0,269461078
14376;-117,25;32,74;36;3548;956;1648;866;2,6962;288200;NEAR OCEAN;1,903002309;2,152912621;0,269447576
11054;-117,86;33,78;21;2713;731;1952;722;2,6959;178800;<1H OCEAN;2,703601108;1,389856557;0,269443421
17235;-119,69;34,43;30;1273;343;1082;325;2,5104;228100;<1H OCEAN;3,329230769;1,176524954;0,269442262
746;-122,09;37,67;33;2431;655;1854;603;2,7019;154000;NEAR BAY;3,074626866;1,311218986;0,269436446
5983;-117,75;34,1;21;8069;2174;4369;2036;3,2756;156800;INLAND;2,145874263;1,846875715;0,269426199
8501;-118,3;33,88;29;850;229;563;204;3,7375;247700;<1H OCEAN;2,759803922;1,509769094;0,269411765
14876;-117,07;32,64;30;2873;774;1593;731;2,24;129500;NEAR OCEAN;2,179206566;1,80351538;0,269404803
7209;-118,18;34,01;42;1845;497;2191;492;2,3462;127300;<1H OCEAN;4,453252033;0,842081241;0,269376694
20513;-121,54;38,58;30;4648;1252;2524;1089;1,3177;74300;INLAND;2,317722681;1,841521395;0,269363167
15066;-116,97;32,79;32;1255;338;782;302;2,6635;113600;<1H OCEAN;2,589403974;1,604859335;0,269322709
12677;-121,39;38,55;18;1734;467;783;447;1,9044;154300;INLAND;1,751677852;2,214559387;0,269319493
14872;-117,09;32,64;24;3613;973;2002;931;1,947;147500;NEAR OCEAN;2,15037594;1,804695305;0,269305286
8489;-118,3;33,9;13;2455;661;1975;618;2,9559;173600;<1H OCEAN;3,19579288;1,243037975;0,269246436
3759;-118,37;34,18;35;2949;794;2106;746;2,9228;177300;<1H OCEAN;2,8230563;1,4002849;0,269243811
6502;-118,05;34,08;34;572;154;752;182;2,0433;138800;<1H OCEAN;4,131868132;0,760638298;0,269230769
5584;-118,3;33,82;26;2080;560;2096;506;2,8106;184400;<1H OCEAN;4,14229249;0,992366412;0,269230769
7226;-118,15;34,02;37;2344;631;2195;610;2,7022;151900;<1H OCEAN;3,598360656;1,067881549;0,269197952
16129;-122,49;37,78;32;3028;815;1704;718;3,2028;322900;NEAR BAY;2,373259053;1,776995305;0,269154557
3943;-118,6;34,21;21;9512;2560;7282;2387;2,8039;227500;<1H OCEAN;3,050691244;1,306234551;0,269133726
8197;-118,13;33,79;20;6678;1797;3625;1599;3,7716;242900;NEAR OCEAN;2,267041901;1,842206897;0,269092543
10223;-117,89;33,87;32;1569;422;835;386;3,0465;148900;<1H OCEAN;2,163212435;1,879041916;0,268961122
14311;-117,14;32,7;40;1227;330;1199;316;1,2188;92500;NEAR OCEAN;3,794303797;1,023352794;0,268948655
8601;-118,36;33,87;17;1082;291;598;281;3,9868;281900;<1H OCEAN;2,128113879;1,809364548;0,268946396
17981;-121,95;37,3;25;5641;1517;3786;1410;3,3958;267500;<1H OCEAN;2,685106383;1,489963022;0,26892395
13401;-117,46;34,1;7;1759;473;1064;328;1,9583;108800;INLAND;3,243902439;1,653195489;0,268902786
12600;-121,47;38,53;44;543;146;506;125;1,3646;65400;INLAND;4,048;1,07312253;0,268876611
8325;-118,29;33,93;32;1815;488;1715;475;1,7244;111200;<1H OCEAN;3,610526316;1,058309038;0,268870523
6135;-118;34,07;34;1696;456;1609;426;2,25;138500;INLAND;3,776995305;1,054070851;0,268867925
14033;-117,14;32,75;25;1908;513;956;467;2,4828;133300;NEAR OCEAN;2,047109208;1,9958159;0,268867925
5444;-118,44;34;40;1287;346;806;311;3,875;321300;<1H OCEAN;2,591639871;1,596774194;0,268842269
14457;-117,28;32,84;21;2455;660;1015;597;3,7596;381300;NEAR OCEAN;1,700167504;2,418719212;0,268839104
7530;-118,23;33,91;33;677;182;984;174;2,5893;88900;<1H OCEAN;5,655172414;0,68800813;0,268833087
11254;-117,97;33,81;26;4022;1081;2457;1001;2,8042;206300;<1H OCEAN;2,454545455;1,636955637;0,268771755
8982;-118,38;33,99;21;11308;3039;5127;2839;4,6277;228300;<1H OCEAN;1,805917577;2,205578311;0,268747789
3299;-122,63;38,96;17;1708;459;633;312;1,75;64000;INLAND;2,028846154;2,698262243;0,268735363
6963;-118,05;33,99;38;1619;435;886;357;3,7328;182400;<1H OCEAN;2,481792717;1,82731377;0,268684373
4923;-118,25;34;41;1768;475;1721;474;1,303;90400;<1H OCEAN;3,630801688;1,027309704;0,268665158
5109;-118,31;33,96;43;2118;569;1266;500;1,747;121000;<1H OCEAN;2,532;1,672985782;0,268649669
14295;-117,14;32,71;34;1694;455;1467;425;2,1164;139400;NEAR OCEAN;3,451764706;1,15473756;0,268595041
11052;-117,85;33,79;40;1251;336;729;343;2,4688;236400;<1H OCEAN;2,125364431;1,716049383;0,268585132
19788;-123,28;40,77;25;767;206;301;121;1,625;79200;INLAND;2,487603306;2,548172757;0,268578879
4802;-118,36;34,03;38;1400;376;1139;315;2,2368;120000;<1H OCEAN;3,615873016;1,229148376;0,268571429
17567;-121,93;37,32;51;2711;728;1607;724;3;184700;<1H OCEAN;2,21961326;1,6869944;0,268535596
18174;-122;37,36;25;3534;949;1880;849;3,4238;337000;<1H OCEAN;2,214369847;1,879787234;0,268534239
16312;-121,32;38;21;1795;482;1114;472;2,0091;101500;INLAND;2,360169492;1,611310592;0,268523677
16100;-122,5;37,75;45;1620;435;941;328;4,3859;270200;NEAR OCEAN;2,868902439;1,721572795;0,268518519
17373;-120,43;34,96;19;2350;631;1291;515;1,0349;130800;<1H OCEAN;2,506796117;1,820294345;0,268510638
12985;-121,26;38,68;4;3080;827;1195;683;2,7477;133000;INLAND;1,749633968;2,577405858;0,268506494
7401;-118,24;33,96;34;946;254;1101;239;1,7396;105900;<1H OCEAN;4,606694561;0,859218892;0,268498943
14309;-117,13;32,7;35;365;98;463;112;2,5588;78800;NEAR OCEAN;4,133928571;0,788336933;0,268493151
14571;-117,22;32,81;24;730;196;335;203;3,5078;362500;NEAR OCEAN;1,650246305;2,179104478;0,268493151
5645;-118,29;33,75;27;1650;443;1359;386;2,5795;192400;NEAR OCEAN;3,520725389;1,214128035;0,268484848
14068;-117,11;32,76;29;2030;545;1014;518;2,2409;114200;NEAR OCEAN;1,957528958;2,001972387;0,268472906
542;-122,28;37,77;27;3997;1073;1901;966;3,75;242800;NEAR BAY;1,967908903;2,102577591;0,268451339
19815;-119,44;36,48;27;1546;415;1704;395;1,1728;41700;INLAND;4,313924051;0,907276995;0,26843467
5453;-118,46;34;39;4098;1100;2054;1053;2,918;345600;<1H OCEAN;1,950617284;1,995131451;0,268423621
8199;-118,15;33,79;5;3700;993;1657;848;3,7826;196300;NEAR OCEAN;1,954009434;2,232951116;0,268378378
12518;-121,47;38,56;51;2083;559;874;524;2,0221;95800;INLAND;1,667938931;2,383295195;0,268362938
14401;-117,28;32,77;38;1267;340;442;250;4,3403;500000;NEAR OCEAN;1,768;2,866515837;0,268350434
5085;-118,29;33,98;46;1118;300;786;254;1,4042;110000;<1H OCEAN;3,094488189;1,422391858;0,268336315
8903;-118,47;34,03;29;3287;882;1523;823;3,7381;290600;<1H OCEAN;1,85054678;2,158240315;0,268329784
7419;-118,22;33,94;41;928;249;1108;236;3,4323;144600;<1H OCEAN;4,694915254;0,837545126;0,268318966
15092;-116,96;32,81;8;2378;638;1410;623;2,9097;152500;<1H OCEAN;2,263242376;1,686524823;0,268292683
13585;-117,3;34,12;50;1629;437;1581;394;2,2019;63500;INLAND;4,012690355;1,030360531;0,268262738
260;-122,2;37,77;41;1547;415;1024;341;2,0562;102000;NEAR BAY;3,002932551;1,510742188;0,268261151
20383;-118,92;34,19;16;3631;974;2585;923;3,0691;130400;<1H OCEAN;2,800650054;1,404642166;0,268245662
604;-122,07;37,69;29;2304;618;1021;552;2,5362;203800;NEAR BAY;1,849637681;2,256611166;0,268229167
7231;-118,14;34,02;44;1715;460;1740;423;2,7019;153300;<1H OCEAN;4,113475177;0,985632184;0,268221574
19141;-122,71;38,34;22;1249;335;699;308;2,6033;121600;<1H OCEAN;2,269480519;1,78683834;0,268214572
6358;-117,97;34,14;15;3595;964;1839;877;2,6014;150300;INLAND;2,096921323;1,954866775;0,268150209
3780;-118,39;34,17;28;2790;748;1351;697;3,2052;283600;<1H OCEAN;1,93830703;2,065136936;0,268100358
10951;-117,88;33,76;17;1768;474;1079;436;1,7823;205300;<1H OCEAN;2,474770642;1,638554217;0,268099548
8395;-118,37;33,95;32;1067;286;1053;277;2,8438;181700;<1H OCEAN;3,801444043;1,013295347;0,268041237
15062;-116,97;32,79;19;4108;1101;2971;1006;1,9893;112500;<1H OCEAN;2,953280318;1,382699428;0,268013632
1800;-122,37;37,93;37;709;190;644;174;0,8641;84200;NEAR BAY;3,701149425;1,100931677;0,267983075
7534;-118,22;33,91;31;571;153;841;158;2,6154;89200;<1H OCEAN;5,32278481;0,678953627;0,267950963
14259;-117,1;32,69;37;1269;340;1369;302;2,2102;87200;NEAR OCEAN;4,533112583;0,926953981;0,267927502
10909;-117,86;33,73;26;1702;456;2776;463;2,6385;180200;<1H OCEAN;5,995680346;0,613112392;0,267920094
7886;-118,14;33,87;21;6618;1773;4396;1649;3,0989;171400;<1H OCEAN;2,665858096;1,505459509;0,267905712
19890;-119,2;36,3;32;1355;363;1427;384;1,3444;45600;INLAND;3,716145833;0,949544499;0,267896679
10173;-117,97;33,86;12;1370;367;1022;296;3,6471;141700;<1H OCEAN;3,452702703;1,340508806;0,267883212
887;-121,98;37,54;17;5133;1375;3386;1339;3,1326;220800;<1H OCEAN;2,528752801;1,515948021;0,267874537
14823;-117,09;32,66;37;1232;330;1086;330;1,6389;114300;NEAR OCEAN;3,290909091;1,134438306;0,267857143
16642;-120,65;35,28;32;896;240;548;231;2,5455;165900;NEAR OCEAN;2,372294372;1,635036496;0,267857143
745;-122,11;37,67;32;3028;811;2037;703;3,0645;165400;NEAR BAY;2,897581792;1,486499755;0,267833554
5763;-118,29;34,16;31;1262;338;1019;332;3,7083;241900;<1H OCEAN;3,069277108;1,238469087;0,267828843
5140;-118,27;33,97;39;2569;688;2601;630;2,0754;101400;<1H OCEAN;4,128571429;0,98769704;0,267808486
4487;-118,2;34,05;8;762;204;728;174;2,4886;137500;<1H OCEAN;4,183908046;1,046703297;0,267716535
17862;-121,92;37,45;10;3937;1054;2032;1002;3,2617;252200;<1H OCEAN;2,027944112;1,9375;0,267716535
11070;-117,86;33,8;34;1793;480;1722;441;2,8235;153100;<1H OCEAN;3,904761905;1,041231127;0,267707752
14828;-117,09;32,67;31;2051;549;1581;538;2,052;108900;NEAR OCEAN;2,93866171;1,297280202;0,267674305
9866;-121,84;36,61;15;2190;586;1570;510;1,875;122300;<1H OCEAN;3,078431373;1,394904459;0,267579909
2478;-120,1;36,16;17;598;160;715;146;2,3295;55000;INLAND;4,897260274;0,836363636;0,267558528
5541;-118,43;33,96;16;14891;3984;6270;3595;5,1064;283200;<1H OCEAN;1,744089013;2,374960128;0,267544154
758;-122,07;37,66;28;2280;610;1255;587;2,6719;161200;NEAR BAY;2,137989779;1,816733068;0,26754386
6043;-117,74;34,05;30;1185;317;1466;302;2,625;94300;INLAND;4,854304636;0,808321965;0,267510549
16742;-122,46;37,7;37;1028;275;904;261;3,5035;238600;NEAR OCEAN;3,463601533;1,137168142;0,267509728
4780;-118,32;34,04;47;1989;532;1430;519;1,8333;151100;<1H OCEAN;2,755298651;1,390909091;0,267471091
3448;-118,42;34,24;17;2049;548;2243;541;2,525;163700;<1H OCEAN;4,146025878;0,913508694;0,267447535
14064;-117,12;32,76;23;2681;717;1279;648;2,1597;116100;NEAR OCEAN;1,973765432;2,096168882;0,267437523
12053;-117,59;33,88;7;3586;959;2695;877;2,4387;117000;INLAND;3,072976055;1,330612245;0,26742889
11385;-117,98;33,64;20;1851;495;792;363;3,8187;137500;NEAR OCEAN;2,181818182;2,337121212;0,267423015
3617;-118,44;34,26;28;1077;288;1377;293;3,9167;153900;<1H OCEAN;4,699658703;0,782135076;0,267409471
8200;-118,14;33,79;23;2573;688;1478;604;3,4833;209400;NEAR OCEAN;2,447019868;1,740866035;0,267392149
12811;-121,5;38,61;5;1395;373;638;322;2,6745;225000;INLAND;1,98136646;2,186520376;0,267383513
8318;-118,3;33,95;41;2057;550;1805;506;1,2455;100800;<1H OCEAN;3,567193676;1,139612188;0,267379679
1176;-121,57;39,48;15;202;54;145;40;0,8252;42500;INLAND;3,625;1,393103448;0,267326733
17204;-119,72;34,43;36;1156;309;521;304;2,6014;320600;<1H OCEAN;1,713815789;2,218809981;0,267301038
8936;-118,47;34,01;41;752;201;482;207;2,5417;418200;<1H OCEAN;2,328502415;1,560165975;0,267287234
15725;-122,44;37,78;16;883;236;601;219;2,151;146900;NEAR BAY;2,744292237;1,46921797;0,267270668
7174;-118,19;34,05;42;1291;345;1535;332;1,9083;119200;<1H OCEAN;4,623493976;0,841042345;0,267234702
5460;-118,47;33,99;34;1875;501;1491;526;2,8417;321400;<1H OCEAN;2,83460076;1,257545272;0,2672
8978;-118,43;34;37;1340;358;1008;340;3,7614;314300;<1H OCEAN;2,964705882;1,329365079;0,267164179
5062;-118,28;33,99;35;1138;304;1128;311;1,8818;100000;<1H OCEAN;3,627009646;1,008865248;0,267135325
16253;-121,25;37,97;34;1288;344;846;293;1,7895;63100;INLAND;2,887372014;1,522458629;0,267080745
14885;-117,09;32,61;23;1157;309;640;313;2,1548;118800;NEAR OCEAN;2,044728435;1,8078125;0,267070009
5773;-118,27;34,15;25;3018;806;2205;742;3,0199;220200;<1H OCEAN;2,971698113;1,368707483;0,267064281
2930;-119;35,36;40;850;227;764;186;0,9407;43600;INLAND;4,107526882;1,112565445;0,267058824
15369;-117,25;33,38;17;1614;431;1031;389;2,0956;134400;<1H OCEAN;2,650385604;1,565470417;0,267038414
20598;-121,56;39,13;17;2277;608;1607;562;1,5085;69700;INLAND;2,859430605;1,416925949;0,267018006
8390;-118,36;33,96;37;2146;573;2009;592;3,6583;177300;<1H OCEAN;3,393581081;1,068193131;0,267008388
4925;-118,24;34;23;588;157;716;173;1,2056;87500;<1H OCEAN;4,138728324;0,82122905;0,267006803
6656;-118,13;34,16;33;2682;716;2050;692;2,4817;169500;<1H OCEAN;2,962427746;1,308292683;0,266964952
8951;-118,39;34,02;45;1577;421;1042;375;3,4375;314500;<1H OCEAN;2,778666667;1,513435701;0,266962587
12000;-117,56;33,89;16;693;185;365;176;2,3417;191700;INLAND;2,073863636;1,898630137;0,266955267
15983;-122,47;37,76;40;3525;941;1675;857;3,2083;330000;NEAR BAY;1,954492415;2,104477612;0,266950355
19333;-122,81;38,54;12;2289;611;919;540;1,1553;139300;<1H OCEAN;1,701851852;2,490750816;0,26692879
17672;-121,84;37,32;14;5762;1538;3979;1389;3,6953;192600;<1H OCEAN;2,864650828;1,448102538;0,266921208
19182;-122,66;38,46;14;2364;631;1300;625;2,6023;221100;<1H OCEAN;2,08;1,818461538;0,266920474
15799;-122,44;37,76;35;1581;422;580;388;4,05;423100;NEAR BAY;1,494845361;2,725862069;0,266919671
13623;-117,27;34,1;9;3904;1042;3688;896;1,8022;78000;INLAND;4,116071429;1,05856833;0,266905738
3138;-117,65;35;36;1184;316;672;241;1,9107;39800;INLAND;2,788381743;1,761904762;0,266891892
11496;-118,04;33,72;15;1836;490;942;477;4,0238;182500;<1H OCEAN;1,974842767;1,949044586;0,266884532
16897;-122,34;37,58;50;2784;743;1622;698;3,8413;372200;NEAR OCEAN;2,323782235;1,716399507;0,266882184
4163;-118,19;34,11;38;1158;309;1051;322;2,286;169300;<1H OCEAN;3,263975155;1,101807802;0,266839378
9580;-120,49;37,32;13;3474;927;2149;821;1,9528;85300;INLAND;2,617539586;1,616565845;0,266839378
12399;-116,25;33,69;5;1664;444;907;374;2,7667;92900;INLAND;2,42513369;1,834619625;0,266826923
3727;-118,42;34,18;30;1323;353;856;333;3,3594;202200;<1H OCEAN;2,570570571;1,545560748;0,266817838
14375;-117,28;32,74;33;4168;1112;1785;984;2,7515;247700;NEAR OCEAN;1,81402439;2,335014006;0,266794626
14434;-117,24;32,8;19;1863;497;868;503;2,288;210000;NEAR OCEAN;1,725646123;2,146313364;0,26677402
7434;-118,21;33,94;40;2227;594;2244;580;2,4459;143800;<1H OCEAN;3,868965517;0,992424242;0,266726538
2877;-118,97;35,38;32;1361;363;1483;297;1,625;46800;INLAND;4,993265993;0,917734322;0,26671565
13591;-117,29;34,09;24;1451;387;1178;330;1,1806;68300;INLAND;3,56969697;1,231748727;0,266712612
19355;-123,01;38,8;21;360;96;131;74;3,5156;133300;<1H OCEAN;1,77027027;2,748091603;0,266666667
16169;-122,42;37,72;42;4219;1125;3549;993;1,2387;212800;NEAR BAY;3,574018127;1,188785573;0,266650865
7487;-118,21;33,92;35;1669;445;1870;412;3,0417;117300;<1H OCEAN;4,538834951;0,892513369;0,266626723
19790;-123,41;40,61;17;769;205;301;126;1,7875;55000;INLAND;2,388888889;2,554817276;0,266579974
17485;-119,82;34,44;28;1992;531;1622;509;2,7689;228200;NEAR OCEAN;3,186640472;1,22811344;0,266566265
4934;-118,26;34;37;2615;697;2484;630;1,9208;103400;<1H OCEAN;3,942857143;1,05273752;0,266539197
4719;-118,38;34,06;31;4345;1158;1987;1070;2,8233;310000;<1H OCEAN;1,857009346;2,186713639;0,266513234
4175;-118,21;34,1;36;2000;533;1234;535;3,7437;241700;<1H OCEAN;2,306542056;1,620745543;0,2665
14304;-117,13;32,71;37;1220;325;1472;323;1,825;81500;NEAR OCEAN;4,557275542;0,828804348;0,266393443
7417;-118,22;33,94;42;1115;297;1412;325;3,0903;153500;<1H OCEAN;4,344615385;0,789660057;0,266367713
698;-122,11;37,69;37;2444;651;1562;618;2,6464;155200;NEAR BAY;2,527508091;1,564660691;0,266366612
249;-122,22;37,78;50;1776;473;1807;440;1,7276;102300;NEAR BAY;4,106818182;0,982844494;0,266328829
20139;-119,06;34,35;34;2426;646;2116;631;2,0682;158300;<1H OCEAN;3,35340729;1,146502836;0,266281946
8277;-118,16;33,78;39;4075;1085;2470;1025;2,3317;222500;NEAR OCEAN;2,409756098;1,649797571;0,266257669
14444;-117,26;32,8;30;1446;385;650;344;3,744;450000;NEAR OCEAN;1,889534884;2,224615385;0,266251729
11281;-117,94;33,8;23;2757;734;1811;707;2,8;214300;<1H OCEAN;2,561527581;1,522363335;0,266231411
12417;-116,23;33,72;32;4981;1326;3779;1186;1,7805;76900;INLAND;3,186340641;1,318073564;0,266211604
7353;-118,17;33,98;31;1236;329;1486;337;3,0938;155400;<1H OCEAN;4,409495549;0,831763122;0,26618123
4056;-118,44;34,15;29;5474;1457;2352;1326;3,415;382500;<1H OCEAN;1,773755656;2,327380952;0,266167336
19678;-121,62;39,15;23;1984;528;1043;452;1,9375;65300;INLAND;2,307522124;1,902205177;0,266129032
3712;-118,4;34,2;13;4859;1293;3351;1200;3,6875;211900;<1H OCEAN;2,7925;1,450014921;0,266104137
13312;-117,62;34,07;16;6009;1599;5110;1389;2,5677;128900;INLAND;3,678905688;1,17592955;0,266100849
16095;-122,51;37,76;43;2345;624;1439;614;2,8448;268900;NEAR OCEAN;2,343648208;1,629603892;0,266098081
16513;-121,21;37,8;31;699;186;460;170;2,7443;94200;INLAND;2,705882353;1,519565217;0,266094421
1867;-119,94;38,96;20;1451;386;467;255;1,5536;212500;INLAND;1,831372549;3,107066381;0,266023432
13129;-121,42;38,47;11;5665;1507;3422;1299;2,3343;97800;INLAND;2,634334103;1,655464641;0,266019417
14887;-117,08;32,62;16;5192;1381;3261;1321;2,2685;151900;NEAR OCEAN;2,468584406;1,592149647;0,265986133
7329;-118,17;33,97;33;2410;641;2106;593;2,2422;168200;<1H OCEAN;3,55143339;1,144349478;0,265975104
16354;-121,29;38;12;4038;1074;3440;942;1,9698;112300;INLAND;3,651804671;1,173837209;0,265973254
17397;-120,44;34,93;16;2098;558;1252;492;2,1509;67500;<1H OCEAN;2,544715447;1,67571885;0,265967588
4546;-118,2;34,02;48;2230;593;2419;598;2,3944;130700;<1H OCEAN;4,045150502;0,921868541;0,265919283
11722;-120,02;39,24;24;1602;426;751;257;1,7609;99300;INLAND;2,922178988;2,133155792;0,265917603
9454;-123,58;39,66;15;1839;489;887;332;2,2429;100000;<1H OCEAN;2,671686747;2,073280722;0,265905383
5615;-118,25;33,79;38;1730;460;1724;424;2,7308;150400;NEAR OCEAN;4,066037736;1,003480278;0,265895954
2903;-119,02;35,38;48;346;92;129;63;1,1875;63800;INLAND;2,047619048;2,682170543;0,265895954
7171;-118,19;34,06;37;1715;456;2052;440;2,3125;116100;<1H OCEAN;4,663636364;0,835769981;0,265889213
5526;-118,37;33,97;32;6699;1781;2725;1544;3,3889;285700;<1H OCEAN;1,764896373;2,458348624;0,265860576
10972;-117,84;33,75;16;4367;1161;2164;1005;4,0214;139500;<1H OCEAN;2,153233831;2,018022181;0,265857568
1364;-122,14;38,02;44;1625;432;825;385;2,0523;133900;NEAR BAY;2,142857143;1,96969697;0,265846154
10913;-117,86;33,74;38;2415;642;3242;599;3,425;165600;<1H OCEAN;5,412353923;0,744910549;0,265838509
4033;-118,54;34,17;25;3352;891;1815;860;2,8528;425000;<1H OCEAN;2,110465116;1,846831956;0,265811456
14830;-117,1;32,68;20;1012;269;837;240;2,0488;88900;NEAR OCEAN;3,4875;1,209080048;0,265810277
14349;-117,22;32,75;26;696;185;384;184;2,6121;125000;NEAR OCEAN;2,086956522;1,8125;0,265804598
1839;-122,3;37,9;30;1772;471;880;437;2,2672;162500;NEAR BAY;2,013729977;2,013636364;0,265801354
7160;-118,16;34,04;38;1076;286;1535;323;2,7026;145000;<1H OCEAN;4,752321981;0,700977199;0,265799257
4145;-118,19;34,12;44;1219;324;1036;282;4,0417;170600;<1H OCEAN;3,673758865;1,176640927;0,265791632
9356;-122,53;37,95;22;7446;1979;2980;1888;3,5838;271300;NEAR BAY;1,578389831;2,498657718;0,265780285
11689;-117,99;33,86;20;2303;612;1607;564;2,9;176100;<1H OCEAN;2,84929078;1,433105165;0,265740339
19835;-119,29;36,52;39;858;228;1222;224;1,5714;43000;INLAND;5,455357143;0,70212766;0,265734266
13589;-117,28;34,11;39;1573;418;1258;359;1,4896;69500;INLAND;3,504178273;1,250397456;0,265734266
13547;-117,31;34,11;38;1208;321;1225;317;1,4663;64000;INLAND;3,864353312;0,986122449;0,265728477
5070;-118,3;33,99;45;1701;452;1484;427;1,84;91400;<1H OCEAN;3,475409836;1,146226415;0,265726044
5597;-118,24;33,8;28;636;169;788;143;3,6161;131300;NEAR OCEAN;5,51048951;0,807106599;0,26572327
7793;-118,08;33,89;28;1035;275;1545;269;3,0357;123400;<1H OCEAN;5,743494424;0,669902913;0,265700483
16534;-121,22;37,8;13;335;89;247;77;1,6111;74100;INLAND;3,207792208;1,356275304;0,265671642
7225;-118,15;34,02;42;2729;725;3004;722;2,3438;154300;<1H OCEAN;4,16066482;0,908455393;0,265665079
11296;-117,92;33,77;28;3614;960;3282;889;3,522;190300;<1H OCEAN;3,691788526;1,101157831;0,265633647
4743;-118,35;34,05;44;1856;493;1374;469;2,0984;158000;<1H OCEAN;2,929637527;1,350800582;0,265625
3555;-118,6;34,23;19;8866;2355;5005;2194;3,2564;230300;<1H OCEAN;2,281221513;1,771428571;0,265621475
14043;-117,13;32,76;29;2568;682;1191;642;2,1094;162500;NEAR OCEAN;1,855140187;2,156171285;0,265576324
543;-122,29;37,76;18;2873;763;1243;663;5,1702;265400;NEAR BAY;1,874811463;2,311343524;0,265576053
12523;-121,49;38,56;42;900;239;506;231;1,2813;87500;INLAND;2,19047619;1,778656126;0,265555556
14633;-117,2;32,8;36;4018;1067;1620;842;2,3599;168400;NEAR OCEAN;1,923990499;2,480246914;0,265555002
16087;-122,48;37,72;46;2403;638;1281;603;3,2321;112500;NEAR OCEAN;2,124378109;1,87587822;0,265501457
18511;-122,02;36,98;21;1484;394;984;380;2,1734;187500;NEAR OCEAN;2,589473684;1,508130081;0,265498652
3443;-118,4;34,25;13;1872;497;1927;432;2,2019;134200;<1H OCEAN;4,460648148;0,971458225;0,265491453
6875;-118,1;34,07;29;1179;313;1255;308;2,5964;176800;<1H OCEAN;4,074675325;0,939442231;0,26547922
8893;-118,48;34,03;32;1793;476;1143;448;2,8981;353600;<1H OCEAN;2,551339286;1,568678915;0,265476854
10992;-117,83;33,74;23;6114;1623;4088;1521;3,0382;183600;<1H OCEAN;2,687705457;1,495596869;0,26545633
18232;-122,1;37,4;19;1085;288;1009;305;3,9091;276000;NEAR BAY;3,308196721;1,075322101;0,265437788
6010;-117,76;34,06;33;1831;486;1625;472;1,9937;103600;INLAND;3,44279661;1,126769231;0,265428727
19830;-119,39;36,54;34;1590;422;1272;407;1,8068;59000;INLAND;3,125307125;1,25;0,265408805
6196;-117,89;34,09;37;1055;280;538;206;2,4167;181300;<1H OCEAN;2,611650485;1,960966543;0,265402844
17241;-119,67;34,42;37;1673;444;1477;446;2,0643;246700;<1H OCEAN;3,311659193;1,132701422;0,265391512
